3 draft-scharf-tsvwg-quick-start-flow-control-00.txt  uni-stuttgart icir nokia
2 draft-arifumi-ipv6-rfc3484-revise-00.txt  ntt syce
1 draft-baker-6man-multiprefix-default-route-00.txt  cisco
2 draft-wu-l3vpn-ipsec-gre-00.txt  zteusa chinamobile
1 draft-jiang-p2psip-peer-protocol-requirement-00.txt  huawei
2 draft-ietf-dnsop-as112-ops-00.txt  afilias nrc
1 draft-sjdcox-cgi-urn-00.txt  csiro
1 draft-ietf-ipv6-compression-nego-v2-00.txt  txc
4 draft-ietf-idr-flow-spec-00.txt  juniper juniper juniper cisco ntt arbor
1 draft-wen-pim-improved-register-00.txt  alcatel alcatel
1 draft-dokaspar-6lowpan-routreq-00.txt  etri etri etri etri
1 draft-dreibholz-rserpool-asap-hropt-00.txt  uni-essen
4 draft-ietf-geopriv-http-location-delivery-00.txt  UNKNOWN nortel andrew andrew bellsouth
1 draft-ietf-mboned-ssmping-00.txt  uninett
1 draft-haddad-netlmm-pmipv6-privacy-00.txt  ericsson ericsson
1 draft-rabinovich-krb-wg-x509-name-constraints-00.txt  exostar
3 draft-yang-multimob-mip6-mc-tunnel-opt-00.txt  hitachi chinamobile cernet
1 draft-chenbo-enum-mgcp-00.txt  cnnic cnnic cnnic cnnic
1 draft-vanelburg-sipping-served-user-00.txt  ericsson
2 draft-garcia-app-area-file-data-format-00.txt  nsn nokia
1 draft-clancy-hokey-plan-00.txt  ltsnet
1 draft-mlee-test-idst-00.txt  qualcomm qualcomm
4 draft-wakikawa-manemoarch-00.txt  keio computer lancaster motorola
1 draft-kamada-krb-client-friendly-cross-00.txt  yokogawa
1 draft-devarapalli-netlmm-multihoming-00.txt  azairenet azairenet azairenet
3 draft-irtf-dtnrg-bundle-checksum-00.txt  nasa cisco nasa
1 draft-krishnan-ipv6-reserved-iids-00.txt  ericsson
1 draft-ronc-ptp-mpls-00.txt  resolutenetworks
1 draft-bagnulo-v6ops-6man-nat64-pb-statement-00.txt  uc3m
1 draft-eastlake-trill-802-protocols-00.txt  motorola
1 draft-harrington-operations-and-management-00.txt  huawei
1 draft-badra-tls-password-ext-00.txt  isima
2 draft-kato-ipsec-camellia-cmac96and128-00.txt  ntt ntt nagoya-u
1 draft-niemi-simple-msrp-ice-00.txt  nokia
1 draft-ietf-mmusic-sdp-capability-negotiation-00.txt  cisco
2 draft-bryant-tictoc-probstat-00.txt  cisco rad
2 draft-janardhan-naveen-rtgwg-equalcostroutes-rip-00.txt  citrix huawei
1 draft-deng-sava-mobileip-problem-statement-00.txt  hitachi
3 draft-culler-6lowpan-architecture-00.txt  archrock proto6 cisco
4 draft-wang-ietf-efit-00.txt  colostate memphis arizona ucla
1 draft-krishnan-cgaext-send-cert-eku-00.txt  ericsson
3 draft-li-isis-hmac-shs-00.txt  extremenetworks cisco ford
1 draft-wbeebee-nd-implementation-pitfalls-00.txt  cisco cisco
1 draft-kzm-imss-fc-fcsp-mib-00.txt  cisco cisco cisco
3 draft-leroux-pce-of-00.txt  orange-ft cisco huawei
4 draft-ietf-autoconf-statement-00.txt  inria niigata-u telecomitalia samsung
1 draft-dulaunoy-syslog-geolocation-00.txt  ses-astra
1 draft-nagelberg-m2ua-implementors-guide-00.txt  adax
3 draft-deng-multimob-ps-mobilemulticast-00.txt  chinamobile hitachi cernet
2 draft-mip4-nemov4-fa-00.txt  qualcomm qualcomm qualcomm cisco
1 draft-moreau-srvloc-dnssec-priming-00.txt  connotech
1 draft-schmidt-mmusic-media-dependency-00.txt  siemens
3 draft-houri-speermint-presence-im-requirements-00.txt  ibm aol microsoft
4 draft-ietf-ccamp-gmpls-mln-extensions-00.txt  alcatel-lucent alcatel-lucent ntt att orange-ft
2 draft-ietf-simple-chat-00.txt  nokia nsn
1 draft-sarikaya-mboned-mldauth-ps-00.txt  huawei huawei huawei
1 draft-schoenw-sming-lessons-00.txt  jacobs-university
2 draft-shockey-enum-trunkgroup-00.txt  neustar comcast
1 draft-sparks-sip-invfix-00.txt  nostrum
3 draft-haddad-cgaext-optisend-00.txt  ericsson ericsson samsung docomo
